geoid,name,B01003001,"B01003001, Error"
05000US01001,"Autauga County, AL",55221,0
05000US01003,"Baldwin County, AL",195121,0
05000US01005,"Barbour County, AL",26932,0
05000US01007,"Bibb County, AL",22604,0
05000US01009,"Blount County, AL",57710,0
05000US01011,"Bullock County, AL",10678,0
05000US01013,"Butler County, AL",20354,0
05000US01015,"Calhoun County, AL",116648,0
05000US01017,"Chambers County, AL",34079,0
05000US01019,"Cherokee County, AL",26008,0
05000US01021,"Chilton County, AL",43819,0
05000US01023,"Choctaw County, AL",13395,0
05000US01025,"Clarke County, AL",25070,0
05000US01027,"Clay County, AL",13537,0
05000US01029,"Cleburne County, AL",15002,0
05000US01031,"Coffee County, AL",50884,0
05000US01033,"Colbert County, AL",54444,0
05000US01035,"Conecuh County, AL",12865,0
05000US01037,"Coosa County, AL",11027,0
05000US01039,"Covington County, AL",37886,0
05000US01041,"Crenshaw County, AL",13938,0
05000US01043,"Cullman County, AL",80965,0
05000US01045,"Dale County, AL",49866,0
05000US01047,"Dallas County, AL",42154,0
05000US01049,"DeKalb County, AL",71068,0
05000US01051,"Elmore County, AL",80763,0
05000US01053,"Escambia County, AL",37935,0
05000US01055,"Etowah County, AL",103766,0
05000US01057,"Fayette County, AL",16896,0
05000US01059,"Franklin County, AL",31634,0
05000US01061,"Geneva County, AL",26815,0
05000US01063,"Greene County, AL",8697,0
05000US01065,"Hale County, AL",15256,0
05000US01067,"Henry County, AL",17252,0
05000US01069,"Houston County, AL",103534,0
05000US01071,"Jackson County, AL",52860,0
05000US01073,"Jefferson County, AL",659026,0
05000US01075,"Lamar County, AL",14133,0
05000US01077,"Lauderdale County, AL",92737,0
05000US01079,"Lawrence County, AL",33586,0
05000US01081,"Lee County, AL",150982,0
05000US01083,"Limestone County, AL",88805,0
05000US01085,"Lowndes County, AL",10742,0
05000US01087,"Macon County, AL",20018,0
05000US01089,"Madison County, AL",346438,0
05000US01091,"Marengo County, AL",20306,0
05000US01093,"Marion County, AL",30387,0
05000US01095,"Marshall County, AL",94318,0
05000US01097,"Mobile County, AL",414251,0
05000US01099,"Monroe County, AL",22217,0
05000US01101,"Montgomery County, AL",228138,0
05000US01103,"Morgan County, AL",119786,0
05000US01105,"Perry County, AL",10038,0
05000US01107,"Pickens County, AL",19856,0
05000US01109,"Pike County, AL",33155,0
05000US01111,"Randolph County, AL",22648,0
05000US01113,"Russell County, AL",58302,0
05000US01115,"St. Clair County, AL",85864,0
05000US01117,"Shelby County, AL",203530,0
05000US01119,"Sumter County, AL",13341,0
05000US01121,"Talladega County, AL",81437,0
05000US01123,"Tallapoosa County, AL",41153,0
05000US01125,"Tuscaloosa County, AL",200458,0
05000US01127,"Walker County, AL",65923,0
05000US01129,"Washington County, AL",16997,0
05000US01131,"Wilcox County, AL",11235,0
05000US01133,"Winston County, AL",24130,0
05000US02013,"Aleutians East Borough, AK",3304,0
05000US02016,"Aleutians West Census Area, AK",5684,0
05000US02020,"Anchorage Municipality, AK",299107,0
05000US02050,"Bethel Census Area, AK",17776,0
05000US02060,"Bristol Bay Borough, AK",970,91
05000US02068,"Denali Borough, AK",2060,143
05000US02070,"Dillingham Census Area, AK",4979,0
05000US02090,"Fairbanks North Star Borough, AK",99705,0
05000US02100,"Haines Borough, AK",2560,0
05000US02105,"Hoonah-Angoon Census Area, AK",2128,0
05000US02110,"Juneau City and Borough, AK",32531,0
05000US02122,"Kenai Peninsula Borough, AK",57221,0
05000US02130,"Ketchikan Gateway Borough, AK",13699,0
05000US02150,"Kodiak Island Borough, AK",13973,0
05000US02164,"Lake and Peninsula Borough, AK",1474,143
05000US02170,"Matanuska-Susitna Borough, AK",96178,0
05000US02180,"Nome Census Area, AK",9854,0
05000US02185,"North Slope Borough, AK",9667,0
05000US02188,"Northwest Arctic Borough, AK",7732,0
05000US02195,"Petersburg Borough, AK",3221,0
05000US02198,"Prince of Wales-Hyder Census Area, AK",6376,0
05000US02220,"Sitka City and Borough, AK",8943,0
05000US02230,"Skagway Municipality, AK",999,112
05000US02240,"Southeast Fairbanks Census Area, AK",7029,0
05000US02261,"Valdez-Cordova Census Area, AK",9617,0
05000US02275,"Wrangell City and Borough, AK",2387,0
05000US02282,"Yakutat City and Borough, AK",643,91
05000US02290,"Yukon-Koyukuk Census Area, AK",5644,0
05000US04001,"Apache County, AZ",72124,0
05000US04003,"Cochise County, AZ",129647,0
05000US04005,"Coconino County, AZ",136701,0
05000US04007,"Gila County, AZ",53165,0
05000US04009,"Graham County, AZ",37407,0
05000US04011,"Greenlee County, AZ",9023,0
05000US04012,"La Paz County, AZ",20335,0
05000US04013,"Maricopa County, AZ",4018143,0
05000US04015,"Mohave County, AZ",203362,0
