,age,percent_drivers,percent_crash,percent_speed
0,19 AND UNDER,3.966,6.75649497406,10.6971975393
1,20-24,8.211,12.5551561592,19.4919115972
2,25-29,8.739,11.0742805484,15.7780815676
3,30-34,8.712,9.3566370348,11.1870585555
4,35-39,8.18,8.30194364924,8.81749829118
5,40-44,8.572,7.62823134377,6.67578035999
6,45-49,8.833,7.82410297251,6.10617452723
7,50-54,9.616,8.53225424568,6.41376167692
8,55-59,9.225,7.61962160184,4.91000227842
9,60-64,7.988,5.75991734648,3.1328320802
10,65-69,6.546,4.6169741062,2.32399179768
11,70-74,4.586,3.19206181795,1.43540669856
12,75-79,3.098,2.24929507738,0.979722032354
13,80-84,2.058,1.79728362642,0.569605832764
14,85 AND OVER,1.671,2.73574549603,1.48097516519
